metric,method,value
der,pa,0.41689455918530743
der_skip,pa,0.31080140555772345
coverage,pa,0.6792359147645002
purity,pa,0.7268722466960353
der,pa,0.26611478399635374
der_skip,pa,0.19162282718386547
coverage,pa,0.8088202699707547
purity,pa,0.8259489808372977
der,pa,0.2718480600915665
der_skip,pa,0.1930119546941126
coverage,pa,0.786325542965063
purity,pa,0.8013195445882033
der,pa,0.3404053096204665
der_skip,pa,0.2404347657612298
coverage,pa,0.6644379504362938
purity,pa,0.7171022734822408
der,pa,0.2534785950711406
der_skip,pa,0.16304864351131862
coverage,pa,0.7351055976044768
purity,pa,0.7396619276838685
der,pa,0.17179751383042027
der_skip,pa,0.09165228877985647
coverage,pa,0.772500945184255
purity,pa,0.8287460016972371
der,pa,0.12961462601523357
der_skip,pa,0.08365273694786587
coverage,pa,0.8558912909981264
purity,pa,0.893532016337527
der,pa,0.2611504201149761
der_skip,pa,0.16789980211553387
coverage,pa,0.7049614850143282
purity,pa,0.7918315544817909
der,pa,0.45167927152191734
der_skip,pa,0.37945670628183276
coverage,pa,0.7896398679470151
purity,pa,0.8758729050279316
der,pa,0.24855180334632407
der_skip,pa,0.20418175189822552
coverage,pa,0.8532648663166571
purity,pa,0.8882119973363325
der,pa,0.32184855624757414
der_skip,pa,0.2794731867930859
coverage,pa,0.8483463154748303
purity,pa,0.8909276076276578
der,pa,0.4441563702653423
der_skip,pa,0.3757112066080273
coverage,pa,0.6695895643869522
purity,pa,0.7720672070965859
der,pa,0.40802643065194977
der_skip,pa,0.19335674949048368
coverage,pa,0.5286517894609513
purity,pa,0.5972869349930368
der,pa,0.3842543329414975
der_skip,pa,0.16954047396585237
coverage,pa,0.553578075846013
purity,pa,0.6233410952829809
der,pa,0.3394177927199831
der_skip,pa,0.18107049386972862
coverage,pa,0.6197450274361267
purity,pa,0.6714753046457413
der,pa,0.4621806223121661
der_skip,pa,0.20431837576446737
coverage,pa,0.4649614369474307
purity,pa,0.5675892361563187
